-67.4899,-30.9843,490.131,-2.549,-0.101,-0.59
-84.3969,39.2984,490.4401,-2.854,-0.053,-0.652
-77.7939,49.5213,490.9255,0.067,0.294,0.034
-72.2894,57.6131,488.9598,-0.064,0.388,0.003
-63.5947,51.0848,488.8997,0.082,0.495,-0.094
-84.6867,65.283,486.6496,-0.239,0.19,0.103
-92.6149,68.2431,483.4694,-0.164,-0.043,-0.352
-85.5061,56.3064,489.1154,0.071,0.061,-0.409
-66.6898,24.1183,503.3951,0.071,0.068,-0.409
-41.1927,35.8806,496.4599,0.074,0.066,-0.41
-39.3533,32.5284,497.3818,0.133,0.08,-0.427
-44.8766,29.3402,497.366,0.196,0.005,-0.384
-55.9134,22.4301,493.8954,0.31,-0.168,-0.267
-49.0899,10.2604,498.3681,0.309,-0.162,-0.269
-32.7141,20.1576,500.0907,0.309,-0.166,-0.266
-86.1243,-11.7656,494.1642,0.312,-0.169,-0.267
-88.3061,-8.134,493.3664,0.243,-0.205,-0.264
-87.3631,4.2858,491.8141,0.013,-0.202,-0.3
-78.2157,10.1066,492.9511,-0.084,-0.053,-0.398
-73.8331,42.7648,471.1216,-0.082,-0.05,-0.398
-66.9249,29.4104,475.6905,0.179,0.059,-0.458
-34.4288,43.3675,468.8113,0.168,0.06,-0.455
-58.8803,92.1967,453.0373,0.182,0.055,-0.458
-142.5756,56.0552,470.8125,0.178,0.06,-0.459
-138.4317,46.8342,471.2841,0.338,0.115,-0.506
-150.4219,41.1478,468.8074,0.442,-0.079,-0.404
-100.3067,64.2389,471.7068,0.431,-0.076,-0.401
-97.9379,62.0599,441.7198,-2.714,0.226,-0.164
-103.4863,67.2552,508.88,0.441,-0.074,-0.404
-65.0326,85.086,510.7066,0.438,-0.067,-0.405
